price,fuel_type,gear_type,Make,Year_of_manufacture,Condition,Mileage,Engine_size
4238850,Petrol,Automatic,Toyota,2005,Local Used,216946.0,2000.0
7350000,Petrol,Automatic,Toyota,2008,Local Used,300228.0,3500.0
16800000,Petrol,Automatic,Lexus,2010,Local Used,285175.0,3500.0
8085000,Petrol,Automatic,Ford,2014,Local Used,768971.0,3500.0
7350000,Petrol,Automatic,Mercedes-Benz,2006,Local Used,33400.0,3500.0
4746000,Petrol,Automatic,Toyota,2004,Local Used,199917.0,3500.0
7072000,Petrol,Automatic,Mazda,2010,Local Used,96030.0,3700.0
10500000,Petrol,Automatic,Hyundai,2013,Local Used,127129.0,2000.0
4410000,Petrol,Automatic,Toyota,2006,Local Used,427144.0,3300.0
7980000,Petrol,Automatic,Lexus,2004,Local Used,304343.0,3300.0
27300000,Petrol,Automatic,Lexus,2015,Foreign Used,26304.0,3500.0
3328000,Petrol,Automatic,Toyota,1999,Local Used,189639.0,3000.0
27300000,Petrol,Automatic,Lexus,2015,Foreign Used,26304.0,3500.0
3328000,Petrol,Automatic,Toyota,1999,Local Used,189639.0,3000.0
6800000,Petrol,Automatic,Toyota,2008,Local Used,303989.0,3500.0
7592000,Petrol,Automatic,Toyota,2007,Local Used,259792.0,4700.0
9817500,Petrol,Automatic,Ford,2014,Local Used,242178.0,3500.0
3675000,Petrol,Automatic,Kia,2010,Local Used,225988.0,1600.0
8925000,Petrol,Automatic,Lexus,2003,Local Used,250000.0,4700.0
6825000,Petrol,Manual,Toyota,2011,Local Used,100971.0,2400.0
9772875,Petrol,Automatic,Toyota,2008,Local Used,326679.0,3500.0
7800000,Petrol,Automatic,Honda,2011,Local Used,230218.0,3500.0
5565000,Petrol,Automatic,Toyota,2007,Local Used,185721.0,2400.0
5964000,Petrol,Automatic,Mazda,2009,Local Used,76839.0,2000.0
6825000,Petrol,Automatic,Toyota,2007,Local Used,298617.0,2400.0
12075000,Petrol,CVT,Land Rover,2010,Local Used,199734.0,5000.0
3570000,Petrol,Automatic,Toyota,2004,Local Used,188523.0,2400.0
11025000,Petrol,Automatic,Lexus,2008,Foreign Used,472009.0,3500.0
7665000,Petrol,Automatic,Volkswagen,2007,Local Used,238166.0,3200.0
5250000,Petrol,Automatic,Toyota,2006,Local Used,224568.0,1800.0
7665000,Petrol,Automatic,Toyota,2007,Brand New,250645.0,1600.0
5250000,Petrol,Automatic,Ford,2018,Local Used,189652.0,1500.0
13650000,Petrol,Automatic,Toyota,2016,Foreign Used,118053.0,2700.0
5775000,Petrol,Automatic,Nissan,2009,Foreign Used,83044.0,3500.0
8084998,Petrol,Automatic,Toyota,2010,Foreign Used,306978.0,1800.0
11130000,Petrol,Automatic,Hyundai,2017,Local Used,51848.0,2000.0
26250000,Petrol,Automatic,Lexus,2017,Local Used,62270.0,2000.0
7350000,Petrol,Automatic,Toyota,2009,Local Used,226149.0,1800.0
8400000,Petrol,Automatic,Mercedes-Benz,2007,Local Used,85946.0,5500.0
4620000,Petrol,Automatic,Lexus,2003,Local Used,367951.0,3000.0
7140000,Petrol,Automatic,Toyota,2011,Local Used,327608.0,2500.0
5250000,Hybrid,Automatic,Toyota,2007,Local Used,291329.0,2400.0
5649000,Petrol,Automatic,Toyota,2007,Local Used,366995.0,2400.0
4567500,Petrol,Automatic,Toyota,2002,Local Used,104860.0,2400.0
8746500,Petrol,Automatic,Lexus,2005,Foreign Used,170781.0,3300.0
19188750,Petrol,Automatic,Mercedes-Benz,2015,Local Used,113297.0,2000.0
5775000,Petrol,Automatic,Mazda,2008,Local Used,126770.0,3700.0
18900000,Petrol,Automatic,Lexus,2013,Foreign Used,281098.0,3500.0
4672500,Petrol,Automatic,Mazda,2008,Local Used,174530.0,2300.0
12075000,Petrol,Automatic,Toyota,2011,Local Used,46291.0,3500.0
6132000,Petrol,Automatic,Toyota,2006,Local Used,173720.0,3500.0
7280000,Petrol,Automatic,Pontiac,2009,Local Used,253396.0,2400.0
7875000,Petrol,Automatic,Lexus,2008,Local Used,219088.0,3500.0
12285000,Petrol,Automatic,Toyota,2013,Local Used,77388.0,3500.0
3528000,Petrol,Automatic,Toyota,2003,Local Used,529406.0,2400.0
9450000,Petrol,Automatic,Hyundai,2012,Local Used,151041.0,2400.0
9450000,Petrol,Automatic,Hyundai,2012,Local Used,151041.0,2400.0
10500000,Petrol,Automatic,Hyundai,2014,Foreign Used,155127.0,1600.0
7770000,Petrol,Automatic,Toyota,2004,Foreign Used,400164.0,3300.0
6300000,Petrol,Automatic,Toyota,2010,Local Used,233122.0,2400.0
5250000,Petrol,Automatic,Toyota,2004,Foreign Used,150119.0,1800.0
4200000,Petrol,Manual,Mercedes-Benz,1984,Local Used,148273.0,2400.0
24150000,Petrol,Automatic,Ford,2019,Local Used,41326.0,2000.0
4620000,Petrol,Automatic,Toyota,2002,Local Used,206306.0,3000.0
5775000,Petrol,Automatic,Pontiac,2007,Local Used,181715.0,2000.0
8295000,Petrol,Automatic,Lexus,2005,Local Used,201952.0,3300.0
15600000,Petrol,Automatic,Land Rover,2015,Local Used,54199.0,2000.0
21000000,Petrol,Automatic,GMC,2015,Foreign Used,274741.0,2400.0
6300000,Petrol,Automatic,Toyota,2004,Foreign Used,190378.0,4000.0
12075000,Petrol,Automatic,Mercedes-Benz,2010,Local Used,263279.0,3000.0
7140000,Petrol,Automatic,Lexus,2008,Local Used,214676.0,2500.0
4680000,Petrol,Automatic,Lexus,2001,Local Used,786938.0,3000.0
4200000,Petrol,Manual,Mercedes-Benz,1984,Local Used,148273.0,2400.0
5310375,Petrol,Automatic,Mazda,2010,Local Used,207409.0,3700.0
15600000,Petrol,Automatic,Toyota,2016,Local Used,167294.0,2500.0
4515000,Petrol,Automatic,Toyota,2006,Local Used,233262.0,1800.0
15645000,Petrol,Automatic,Toyota,2016,Local Used,113286.0,2500.0
8925000,Petrol,Automatic,Mercedes-Benz,2012,Local Used,228007.0,1800.0
4410000,Petrol,Automatic,Toyota,2007,Local Used,161981.0,2400.0
8400000,Petrol,Automatic,Nissan,2008,Local Used,81797.0,2000.0
