price,fuel_type,gear_type,Make,Year_of_manufacture,Condition,Mileage,Engine_size,Selling_Condition,Bought_Condition
7904000,Petrol,Automatic,Toyota,2009,Local Used,359705.0,3500.0,Registered,Registered
14700000,Petrol,Automatic,Toyota,2015,Foreign Used,91482.0,2500.0,Imported,Imported
5775000,Petrol,Automatic,Toyota,2007,Local Used,483136.0,2400.0,Registered,Registered
15225000,Petrol,Automatic,Toyota,2015,Local Used,165908.0,2500.0,Registered,Imported
9975000,Petrol,Automatic,Toyota,2013,Local Used,100234.0,3000.0,Registered,Imported
6760000,Petrol,Automatic,Acura,2007,Local Used,148213.0,3700.0,Registered,Registered
4410000,Petrol,Automatic,Toyota,2005,Local Used,366018.0,3500.0,Registered,Registered
24150000,Petrol,Automatic,Mercedes-Benz,2016,Foreign Used,154562.0,2000.0,Imported,Imported
9256000,Petrol,Automatic,Lexus,2005,Local Used,9845.0,3300.0,Registered,Registered
4580000,Petrol,Automatic,Toyota,2004,Local Used,335524.0,2400.0,Registered,Imported
4200000,Petrol,Automatic,Toyota,2005,Local Used,152341.0,2400.0,Registered,Registered
5565000,Petrol,Automatic,Toyota,2007,Local Used,143907.0,2400.0,Registered,Registered
5040000,Petrol,Automatic,Toyota,2008,Local Used,254233.0,1800.0,Registered,Registered
6300000,Petrol,Automatic,Lexus,2006,Local Used,205013.0,300.0,Registered,Registered
5200000,Petrol,Automatic,Toyota,2004,Local Used,278606.0,1800.0,Registered,Registered
5460000,Petrol,Automatic,Toyota,2008,Local Used,171961.0,2800.0,Registered,Registered
7350000,Petrol,Automatic,Nissan,2007,Foreign Used,129551.0,3500.0,Imported,Imported
7350000,Petrol,Automatic,Nissan,2007,Foreign Used,129551.0,3500.0,Imported,Imported
4515000,Petrol,Automatic,Toyota,2007,Local Used,150590.0,3500.0,Registered,Registered
10500000,Petrol,Automatic,BMW,2012,Local Used,190530.0,2000.0,Registered,Imported
5250000,Petrol,Automatic,Ford,2008,Local Used,418246.0,4000.0,Registered,Imported
31500000,Petrol,Automatic,Jeep,2008,Foreign Used,368707.0,3500.0,Imported,Imported
10263750,Petrol,Automatic,Toyota,2008,Local Used,242812.0,3500.0,Registered,Imported
14700000,Petrol,Automatic,Honda,2013,Foreign Used,111155.0,3500.0,Imported,Imported
5250000,Petrol,Manual,Toyota,2009,Local Used,170931.0,1800.0,Registered,Registered
15750000,Petrol,Automatic,Lexus,2014,Local Used,296700.0,3500.0,Registered,Registered
5775000,Petrol,Automatic,Toyota,2009,Local Used,132995.0,3500.0,Registered,Registered
6760000,Petrol,Automatic,Toyota,2005,Local Used,126855.0,3300.0,Registered,Registered
4200000,Petrol,Automatic,Toyota,2001,Local Used,881644.0,4700.0,Registered,Registered
