price,fuel type,gear type,Make,Model,Year of manufacture,Colour,Condition,Mileage,Engine Size,Selling Condition,Bought Condition,car,Trim,Drivetrain,Seats,Number of Cylinders,Horse Power,Registered city
"₦ 5,985,000",Petrol,Automatic,Toyota,Camry,2008,Red,Local Used,132117,2400,Registered,Registered,Toyota Camry 2008 Red,,,,,,
"₦ 26,250,000",Petrol,Automatic,Toyota,RAV4,2019,Silver,Foreign Used,43783,2500,Imported,Imported,Toyota RAV4 2019 Silver,,,,,,
"₦ 12,600,000",Hybrid,CVT,Toyota,Highlander,2008,Gray,Local Used,145961,3300,Registered,Imported,Toyota Highlander 2008 Gray,,,,,,Delta
"₦ 6,510,000",Petrol,Automatic,Mazda,CX-9,2009,Black,Local Used,169348,3700,Registered,Registered,Mazda CX-9 2009 Black,,,,,,LAGOS
"₦ 6,825,000",Petrol,Automatic,Hyundai,Santa Fe,2011,Gray,Local Used,125902,2400,Registered,Brand new,Hyundai Santa Fe 2011 Gray,,,,,,
"₦ 6,825,000",Petrol,Automatic,Lexus,RX 330,2004,Gray,Local Used,100000,3300,Registered,Registered,Lexus RX 330 2004 Gray,,,,,,LAGOS
"₦ 6,300,000",Petrol,Automatic,Ford,Edge,2011,Gray,Local Used,121358,3500,Registered,Imported,Ford Edge 2011 Gray,,,,,,
"₦ 6,760,000",Petrol,Automatic,Honda,CR-V,2007,Silver,Local Used,85254,2400,Registered,Imported,Honda CR-V 2007 Silver,,,,,,Lagos
"₦ 8,657,250",Petrol,Automatic,Mercedes-Benz,C250,2012,Black,Local Used,445046,1800,Registered,Imported,Mercedes-Benz C250 2012 Black,,,,,,
"₦ 13,650,000",Petrol,CVT,Mercedes-Benz,S-Class,2010,Black,Local Used,88733,3500,Registered,Imported,Mercedes-Benz S-Class 2010 Black,,,,,,
"₦ 6,090,000",Petrol,Automatic,Toyota,Corolla,2009,White,Local Used,316930,1800,Registered,Registered,Toyota Corolla LE 4dr Sedan (1.8L 4 cyl 4A) 2009 White,LE 4dr Sedan (1.8L 4 cyl 4A),Front,,4,132,FCT
"₦ 10,531,500",Petrol,Automatic,Hyundai,Elantra,2011,Red,Foreign Used,87185,1800,Imported,Imported,Hyundai Elantra 2011 Red,,,,,,
"₦ 10,290,000",Petrol,Automatic,Toyota,Sienna,2011,Silver,Local Used,148419,3500,Registered,Imported,Toyota Sienna 2011 Silver,,,,,,
"₦ 14,700,000",Petrol,Automatic,Mercedes-Benz,GLK-Class,2013,White,Foreign Used,75737,2200,Imported,Imported,Mercedes-Benz GLK-Class 2013 White,,,,,,
"₦ 12,272,000",Petrol,Automatic,Toyota,Highlander,2010,Blue,Local Used,69219,3500,Registered,Imported,Toyota Highlander 2010 Blue,,,,,,Lagos
"₦ 6,510,000",Petrol,Automatic,Mazda,CX-9,2009,Black,Local Used,169348,3700,Registered,Registered,Mazda CX-9 2009 Black,,,,,,LAGOS
"₦ 8,657,250",Petrol,Automatic,Mercedes-Benz,C250,2012,Black,Local Used,445046,1800,Registered,Imported,Mercedes-Benz C250 2012 Black,,,,,,
"₦ 13,000,000",Petrol,Automatic,Mercedes-Benz,C300,2013,Gray,Local Used,153452,3500,Registered,Imported,Mercedes-Benz C300 Luxury 4Matic Sedan AWD (3.5L 6cyl 7A) 2013 Gray,Luxury 4Matic Sedan AWD (3.5L 6cyl 7A),All Wheel,5,6,248,
"₦ 6,300,000",Diesel,Automatic,BMW,535d,2010,Black,Local Used,293126,3000,Registered,Imported,BMW 535d 2010 Black,,,,,,
"₦ 6,720,000",Petrol,Automatic,Volkswagen,CC,2011,Silver,Local Used,244331,2000,Registered,Imported,Volkswagen CC 2011 Silver,,,,,,ABUJA
"₦ 14,700,000",Petrol,Automatic,Hyundai,Veloster,2016,White,Foreign Used,138216,1600,Imported,Imported,Hyundai Veloster 2016 White,,,,,,
"₦ 6,825,000",Petrol,Automatic,Lexus,RX 330,2004,Gray,Local Used,100000,3300,Registered,Registered,Lexus RX 330 2004 Gray,,,,,,LAGOS
"₦ 21,000,000",Petrol,Automatic,Dodge,Charger,2016,Red,Local Used,130813,3600,Registered,Imported,Dodge Charger 2016 Red,,,,,,Lagos
"₦ 47,250,000",Petrol,Automatic,Ford,Edge,2020,White,Local Used,44309,2000,Registered,Brand new,Ford Edge 2020 White,,,,,,
"₦ 9,366,000",Petrol,Automatic,Acura,MDX,2013,Black,Local Used,74277,3700,Registered,Imported,Acura MDX 2013 Black,,,,,,LAGOS
"₦ 27,782,998",Petrol,Automatic,Lexus,NX,2017,White,Foreign Used,133604,2000,Imported,Imported,Lexus NX 200t AWD 2017 White,200t AWD,All Wheel,5,4,235,
"₦ 6,300,000",Petrol,Automatic,Hyundai,Sonata,2011,Blue,Local Used,203613,2400,Registered,Registered,Hyundai Sonata 2011 Blue,,,,,,LAGOS
"₦ 13,438,950",Petrol,Automatic,Toyota,Tundra,2008,Black,Local Used,144206,5700,Registered,Brand new,Toyota Tundra 2008 Black,Double Cab 4x4 SR5 5.7L Long Bed,All Wheel,6,8,387,
"₦ 14,700,000",Petrol,Automatic,Infiniti,QX56,2006,Silver,Foreign Used,313286,5600,Imported,Imported,Infiniti QX56 2006 Silver,,,,,,
"₦ 4,620,000",Petrol,Automatic,Toyota,4-Runner,2003,Black,Local Used,340330,3500,Registered,Imported,Toyota 4-Runner 2003 Black,,,,,,LAGOS
"₦ 11,550,000",Petrol,Automatic,Toyota,Sienna,2008,Gold,Foreign Used,144750,3500,Imported,Imported,Toyota Sienna 2008 Gold,,,,,,
"₦ 7,980,000",Petrol,Automatic,Lexus,RX 350,2007,White,Local Used,119447,3500,Registered,Registered,Lexus RX 350 2007 White,,,,,,
"₦ 14,700,000",Petrol,Automatic,Toyota,Fortuner,2009,Silver,Local Used,138154,2700,Registered,Imported,Toyota Fortuner 2009 Silver,,,,,,Lagos
"₦ 15,800,000",Petrol,Automatic,Land Rover,Range Rover Evoque,2016,Blue,Local Used,34552,2000,Registered,Imported,Land Rover Range Rover Evoque 2016 Blue,,,,,,
"₦ 6,300,000",Diesel,Automatic,BMW,535d,2010,Black,Local Used,293126,3000,Registered,Imported,BMW 535d 2010 Black,,,,,,
"₦ 14,700,000",Petrol,Automatic,Hyundai,Veloster,2016,White,Foreign Used,138216,1600,Imported,Imported,Hyundai Veloster 2016 White,,,,,,
"₦ 102,900,000",Petrol,Automatic,Lexus,RX 350,2023,Gray,Foreign Used,5426,2400,Imported,Imported,Lexus RX 350 2023 Gray,,,,,,
"₦ 5,775,000",Petrol,Automatic,Jeep,Liberty,2008,Silver,Local Used,66957,3700,Registered,Registered,Jeep Liberty 2008 Silver,,,,,,LAGOS
"₦ 28,875,000",Petrol,Automatic,Mercedes-Benz,GLE-Class,2016,Gray,Local Used,118095,3500,Registered,Imported,Mercedes-Benz GLE-Class 2016 Gray,,,,,,
"₦ 16,905,000",Petrol,Automatic,Toyota,RAV4,2013,Gray,Foreign Used,176430,2500,Imported,Imported,Toyota RAV4 2013 Gray,,,,,,
"₦ 10,500,000",Petrol,Manual,Toyota,Hilux,2012,White,Local Used,87181,2700,Registered,Registered,Toyota Hilux 2012 White,,,,,,EDO
"₦ 14,700,000",Petrol,Automatic,Hyundai,Veloster,2016,White,Foreign Used,138216,1600,Imported,Imported,Hyundai Veloster 2016 White,,,,,,
"₦ 4,935,000",Petrol,Automatic,Toyota,Sienna,2004,Gray,Local Used,260622,3300,Registered,Registered,Toyota Sienna 2004 Gray,,,,,,Lagos
"₦ 6,405,000",Petrol,Automatic,Toyota,RAV4,2008,Red,Local Used,302850,2400,Registered,Imported,Toyota RAV4 2008 Red,,,,,,Lagos
"₦ 31,500,000",Petrol,Automatic,Mitsubishi,Outlander,2018,Black,Foreign Used,79226,2400,Imported,Imported,Mitsubishi Outlander 2018 Black,,,,,,
"₦ 6,405,000",Petrol,Automatic,Mercedes-Benz,C300,2011,White,Local Used,,3800,Registered,Registered,Mercedes-Benz C300 2011 White,Luxury 4Matic Sedan AWD (3.0L 6cyl 7A),All Wheel,5,6,228,LAGOS
"₦ 7,350,000",Petrol,Automatic,Mercedes-Benz,C300,2011,Gray,Local Used,125256,3000,Registered,Imported,Mercedes-Benz C300 2011 Gray,,,,,,Lagos
"₦ 5,460,000",Petrol,Automatic,Toyota,Highlander,2006,Gold,Local Used,281087,2400,Registered,Imported,Toyota Highlander 2006 Gold,,,,,,LAGOS
