price,fuel type,gear type,Make,Model,Year of manufacture,Colour,Condition,Mileage,Engine Size,Selling Condition,Bought Condition,car,Trim,Drivetrain,Seats,Number of Cylinders,Horse Power,Registered city
"₦ 10,920,000",Petrol,Automatic,Lexus,RX 330,2004,Silver,Local Used,108123,3300,Registered,Imported,Lexus RX 330 2004 Silver,,,,,,EDO
"₦ 11,550,000",Petrol,Automatic,Mercedes-Benz,G-Class,2011,Black,Local Used,,4000,Registered,Registered,Mercedes-Benz G-Class Base G 55 AMG 4x4 2011 Black,Base G 55 AMG 4x4,All Wheel,5,8,500,
"₦ 19,950,000",Petrol,Automatic,Toyota,Highlander,2012,Silver,Foreign Used,282612,3500,Imported,Imported,Toyota Highlander 2012 Silver,,,,,,
"₦ 9,450,000",Petrol,Automatic,Volkswagen,Routan,2008,White,Foreign Used,193566,3800,Imported,Imported,Volkswagen Routan 2008 White,,,,,,
"₦ 3,224,000",Petrol,Automatic,Honda,Accord,2005,Black,Local Used,260037,2400,Registered,Registered,Honda Accord 2005 Black,,,,,,
"₦ 3,990,000",Petrol,Automatic,Lexus,RX 300,1999,Green,Local Used,189798,3000,Registered,Registered,Lexus RX 300 1999 Green,,,,,,ABUJA
"₦ 60,900,000",Petrol,Manual,Toyota,HiAce,2017,White,Local Used,6060,2400,Registered,Brand new,Toyota HiAce 2017 White,,,,,,ABUJA
"₦ 50,960,000",Petrol,Automatic,Lexus,RX 350,2016,Gold,Foreign Used,230816,3500,Imported,Imported,Lexus RX 350 2016 Gold,,,,,,
"₦ 26,250,000",Petrol,Automatic,Mercedes-Benz,M Class,2012,Silver,Foreign Used,261108,3500,Imported,Imported,Mercedes-Benz M Class 2012 Silver,,,,,,
"₦ 6,240,000",Petrol,Automatic,Lexus,ES,2004,Gold,Local Used,321253,3300,Registered,Imported,Lexus ES 2004 Gold,,,,,,LAGOS
"₦ 15,600,000",Petrol,Automatic,Toyota,Camry,2012,Black,Local Used,226699,2500,Registered,Imported,Toyota Camry 2012 Black,LE 4dr Sedan (2.5L 4cyl 6A),Front,5,4,178,Lagos
"₦ 6,936,800",Petrol,Automatic,Toyota,Camry,2008,Black,Local Used,197007,2400,Registered,Imported,Toyota Camry 2008 Black,,,,,,LAGOS
"₦ 7,072,000",Petrol,Automatic,Toyota,Camry,2008,Blue,Local Used,152341,2500,Registered,Registered,Toyota Camry 2008 Blue,,,,,,
"₦ 9,152,000",Petrol,Automatic,Toyota,Corolla,2009,Gray,Local Used,129120,1800,Registered,Registered,Toyota Corolla 2009 Gray,,,,,,
"₦ 70,350,000",Petrol,Automatic,Mercedes-Benz,GLE43,2017,Black,Foreign Used,126621,3000,Imported,Imported,Mercedes-Benz GLE43 2017 Black,,,,,,
"₦ 28,080,000",Petrol,Automatic,Toyota,Highlander,2008,Silver,Foreign Used,263980,3500,Imported,Imported,Toyota Highlander 2008 Silver,,,,,,
"₦ 128,625,000",Petrol,Automatic,Mercedes-Benz,GLE-Class,2021,White,Foreign Used,62823,2000,Imported,Imported,Mercedes-Benz GLE-Class 2021 White,,,,,,
"₦ 3,990,000",Petrol,Automatic,Lexus,RX 300,1999,Green,Local Used,189798,3000,Registered,Registered,Lexus RX 300 1999 Green,,,,,,ABUJA
"₦ 20,800,000",Petrol,Automatic,Toyota,Camry,2015,White,Local Used,197515,2500,Registered,Registered,Toyota Camry 2015 White,,,,,,
"₦ 19,240,000",Petrol,Automatic,Toyota,RAV4,2015,Blue,Local Used,291451,2500,Registered,Imported,Toyota RAV4 2015 Blue,,,,,,Lagos
"₦ 17,472,000",Petrol,Automatic,Toyota,Sienna,2015,Black,Local Used,163040,3500,Registered,Imported,Toyota Sienna 2015 Black,,,,,,
"₦ 13,000,000",Petrol,Automatic,Hyundai,Sonata,2013,Black,Foreign Used,166296,2400,Imported,Imported,Hyundai Sonata 2013 Black,,,,,,
"₦ 9,360,000",Petrol,Automatic,Honda,Pilot,2007,Green,Foreign Used,263624,3500,Imported,Imported,Honda Pilot 2007 Green,,,,,,
"₦ 21,000,000",Petrol,Automatic,Lexus,ES,2013,Black,Foreign Used,154960,3500,Imported,Imported,Lexus ES 2013 Black,,,,,,
"₦ 28,350,000",Petrol,Automatic,Toyota,Sienna,2017,Gray,Local Used,92501,3500,Registered,Imported,Toyota Sienna 2017 Gray,,,,,,DELTA
"₦ 17,680,000",Petrol,Automatic,Toyota,Highlander,2008,Blue,Foreign Used,278931,3500,Imported,Imported,Toyota Highlander 2008 Blue,,,,,,
"₦ 4,160,000",Petrol,Automatic,Acura,MDX,2002,Black,Local Used,276903,3500,Registered,Imported,Acura MDX 2002 Black,,,,,,
"₦ 3,120,000",Petrol,Automatic,Honda,Accord,2004,Gold,Local Used,249785,2400,Registered,Registered,Honda Accord 2004 Gold,,,,,,LAGOS
"₦ 35,360,000",Petrol,Automatic,Toyota,Camry,2018,White,Foreign Used,92281,,Imported,Imported,Toyota Camry 2018 White,,,,,,
"₦ 6,552,000",Petrol,Automatic,Lexus,ES,2004,Silver,Local Used,190871,3300,Registered,Imported,Lexus ES 2004 Silver,,,,,,Lagos
"₦ 40,950,000",Petrol,Automatic,Land Rover,Range Rover,2016,Black,Local Used,120833,5000,Registered,Imported,Land Rover Range Rover 2016 Black,,,,,,
"₦ 36,400,000",Petrol,Automatic,Toyota,Camry,2018,Red,Foreign Used,80074,2500,Imported,Imported,Toyota Camry 2018 Red,,,,,,
"₦ 58,905,000",Petrol,Automatic,Toyota,Highlander,2021,Silver,Foreign Used,212968,3500,Imported,Imported,Toyota Highlander 2021 Silver,,,,,,
"₦ 28,080,000",Petrol,Automatic,Toyota,4-Runner,2014,Black,Local Used,81147,3500,Registered,Imported,Toyota 4-Runner 2014 Black,,,,,,Lagos
"₦ 20,800,000",Petrol,Automatic,Lexus,RX 350,2012,Gray,Local Used,143785,3500,Registered,Imported,Lexus RX 350 2012 Gray,,,,,,
"₦ 12,600,000",Petrol,Automatic,Mercedes-Benz,GLK-Class,2010,Gray,Local Used,145109,3500,Registered,Registered,Mercedes-Benz GLK-Class 2010 Gray,,,,,,
"₦ 17,850,000",Petrol,Automatic,Toyota,Venza,2010,Silver,Foreign Used,119748,3500,Imported,Imported,Toyota Venza 2010 Silver,,,,,,
"₦ 13,125,000",Petrol,Automatic,Toyota,Camry,2016,Black,Local Used,131000,2500,Registered,Imported,Toyota Camry 2016 Black,,,,,,
"₦ 7,072,000",Petrol,Automatic,Toyota,Camry,2009,Black,Local Used,212090,2400,Registered,Registered,Toyota Camry 2009 Black,,,,,,
"₦ 30,160,000",Petrol,Automatic,Lexus,GX,2012,Black,Local Used,204465,4600,Registered,Imported,Lexus GX 2012 Black,,,,,,Lagos
"₦ 14,175,000",Petrol,Automatic,Toyota,RAV4,2011,White,Foreign Used,117080,2500,Imported,Imported,Toyota RAV4 2.5 4x4 2011 White,2.5 4x4,All Wheel,5,4,,
"₦ 13,520,000",Petrol,Automatic,Mercedes-Benz,GL-Class,2010,Gray,Local Used,245960,4600,Registered,Imported,Mercedes-Benz GL-Class 2010 Gray,,,,,,Lagos
"₦ 13,125,000",Petrol,Automatic,Toyota,RAV4,2012,Blue,Foreign Used,448566,2500,Imported,Imported,Toyota RAV4 2012 Blue,,,,,,
"₦ 11,550,000",Petrol,Automatic,Hyundai,Sonata,2012,White,Foreign Used,187651,2000,Imported,Imported,Hyundai Sonata 2012 White,Limited 2.0T Sedan (2.0L 4cyl 6A),,,4,,
"₦ 5,460,000",Petrol,CVT,Toyota,Camry,2007,Black,Local Used,288898,3500,Registered,Registered,Toyota Camry 2007 Black,,,,,,LAGOS
"₦ 7,280,000",Petrol,Automatic,Lexus,ES,2003,Gold,Local Used,272879,3000,Registered,Registered,Lexus ES 2003 Gold,,,,,,
"₦ 15,080,000",Petrol,Automatic,Hyundai,Sonata,2015,Orange,Local Used,113216,2400,Registered,Imported,Hyundai Sonata 2015 Orange,,,,,,ABUJA
"₦ 18,375,000",Petrol,Automatic,Honda,Accord,2017,Gray,Foreign Used,47406,2400,Imported,Imported,Honda Accord 2017 Gray,,,,,,
"₦ 4,160,000",Petrol,Automatic,Honda,Accord,2007,Gray,Local Used,283705,2000,Registered,Registered,Honda Accord 2007 Gray,,,,,,
"₦ 6,240,000",Petrol,Automatic,Lexus,ES,2003,Black,Local Used,182000,3300,Registered,Imported,Lexus ES 2003 Black,,,,,,
"₦ 14,175,000",Petrol,Automatic,Lexus,RX 330,2004,Gold,Foreign Used,339147,3300,Imported,Imported,Lexus RX 330 2004 Gold,,,,,,
"₦ 5,928,000",Petrol,Automatic,Toyota,Camry,2002,White,Local Used,387820,2400,Registered,Imported,Toyota Camry 2002 White,,,,,,Abuja
"₦ 55,120,000",Petrol,Automatic,Lexus,RX 350,2017,Gray,Foreign Used,147874,3500,Imported,Imported,Lexus RX 350 2017 Gray,,,,,,
"₦ 17,160,000",Petrol,Automatic,Toyota,Corolla,2016,Red,Foreign Used,71055,1800,Imported,Imported,Toyota Corolla 2016 Red,,,,,,
"₦ 36,400,000",Petrol,Automatic,Toyota,Highlander,2015,Gray,Foreign Used,210207,3500,Imported,Imported,Toyota Highlander 2015 Gray,,,,,,
"₦ 52,000,000",Petrol,Automatic,Lexus,RX 350,2017,Black,Foreign Used,244466,3500,Imported,Imported,Lexus RX 350 2017 Black,,,,,,
